226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.2884316,-0.26827487,0.068484314,0.044201363,0.0240198,0.065520294,-0.009620156,0.024159074,-0.38738033
0.23548692,-0.31034848,-0.25725412,-0.2493376,-0.2533039,-0.23606247,-0.29106754,-0.25644258,-0.7372396
0.38036466,-0.18014544,0.27137864,0.28843608,0.2912025,0.34354493,0.29548937,0.28514433,0.098012686
0.2512808,-0.30857328,0.3231659,0.3337455,0.32563683,0.3124417,0.3629101,0.34770557,0.4690591
0.36365417,-0.17739126,-0.1373213,-0.14169042,-0.1582351,-0.15708046,-0.18505156,-0.14763866,-0.8720639
0.4321561,-0.08530638,0.17429087,0.21700215,0.21398148,0.18178912,0.2066522,0.21507557,0.53733945
-0.33237484,-0.7865866,-0.39216262,-0.4411498,-0.44488937,-0.47442728,-0.4454584,-0.43969658,-0.66103345
-0.16217451,-0.6903867,-0.3848378,-0.28522336,-0.28006706,-0.25396046,-0.2535751,-0.25300983,0.008657901
-0.3701472,-0.7942894,0.0011810375,-0.13528967,-0.122330435,-0.09153499,-0.12721902,-0.14389595,-0.20652863
0.1581996,-0.39654228,0.24143852,0.1609915,0.17401174,0.2384575,0.16216584,0.14784423,0.031331774
0.33677262,-0.20359465,-0.21820438,-0.23691009,-0.23278193,-0.21607044,-0.2658525,-0.24678631,-0.83886254
-0.39034894,-0.8202472,0.024267366,-0.18285914,-0.15664919,-0.14157899,-0.15320826,-0.19008254,-0.36368883
0.06635849,-0.5031074,-0.16807826,-0.118604444,-0.11762415,-0.16791795,-0.112398185,-0.11003973,0.11912877
-0.021489635,-0.5799045,-0.27059054,-0.20130804,-0.20566988,-0.20864105,-0.16031414,-0.16587076,0.06687703
0.6110922,0.19324255,0.18469584,0.24751046,0.24119806,0.2605622,0.2449446,0.25478598,0.14435957
0.28027615,-0.27438265,-0.13117692,-0.13806355,-0.15166853,-0.13342609,-0.16847205,-0.13962987,-0.7129227
0.4673512,-0.022952711,0.03458503,0.13762516,0.13776566,0.09808241,0.12564948,0.14054148,0.452114
0.85527855,0.69561875,0.24417703,0.35005406,0.3757669,0.23379433,0.37685344,0.36542025,0.04857785
