226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.23989676,-0.32010567,0.09283707,0.053267777,0.041695643,0.088945836,0.009264579,0.03266822,-0.22952335
0.08013675,-0.4711773,-0.26988077,-0.3002038,-0.29852492,-0.30129236,-0.33109105,-0.30975735,-0.70012945
0.24793641,-0.3544356,0.16931634,0.18003163,0.16857493,0.2325633,0.16674799,0.17385483,-0.063207634
0.29080704,-0.25072047,0.330238,0.35710222,0.32957208,0.30144888,0.3627225,0.36478916,0.5275397
0.34133792,-0.19809382,-0.10657591,-0.111522764,-0.1258431,-0.12737447,-0.15413713,-0.11654733,-0.841521
0.3719329,-0.15437813,0.2066042,0.23284428,0.2282215,0.19367424,0.20913054,0.21792047,0.5162625
-0.17513373,-0.69663346,-0.31078777,-0.37348676,-0.3760038,-0.4067324,-0.3880939,-0.37855294,-0.6805026
-0.09447637,-0.65379995,-0.3019397,-0.240814,-0.24394757,-0.18136442,-0.2138682,-0.2139056,-0.0026636508
-0.31099647,-0.77826095,0.071949534,-0.073547654,-0.07720685,-0.020678014,-0.07362751,-0.08458216,-0.11738893
0.2020812,-0.3546035,0.24008995,0.17736076,0.18402736,0.21883479,0.16807395,0.15894675,0.00087736524
0.3421637,-0.18214159,-0.22573306,-0.23641217,-0.22773616,-0.21278381,-0.2703668,-0.24710661,-0.8195335
-0.3464054,-0.8186092,-0.02855154,-0.22083221,-0.21265563,-0.18438435,-0.2123017,-0.23566736,-0.3912505
0.046688102,-0.512361,-0.17910586,-0.120546915,-0.119937055,-0.18374884,-0.10823007,-0.10874748,0.12894465
0.008147461,-0.55607134,-0.25396144,-0.20464158,-0.20892845,-0.2057144,-0.17365324,-0.17480469,0.07364612
0.55991757,0.1141527,0.16035664,0.22088751,0.21191522,0.23725379,0.20411715,0.22426762,0.17797375
0.26348317,-0.292618,-0.13917144,-0.15209427,-0.1579205,-0.16030525,-0.17756115,-0.15470229,-0.7193756
0.47821906,-0.003681375,0.05157871,0.14628595,0.14793509,0.12713978,0.13088337,0.1419055,0.45625886
0.8804172,0.7666366,0.36244726,0.46263927,0.4795238,0.38326558,0.4833505,0.4588228,0.1419088
-0.33557013,-0.7900606,0.0041614864,-0.20246938,-0.1883349,-0.18277663,-0.19238272,-0.2202267,-0.35682735
-0.065059945,-0.60243106,-0.32011,-0.20916042,-0.20193763,-0.24265358,-0.1728328,-0.18488957,0.2160538
-0.31843936,-0.76631504,-0.010905702,-0.0234175,-0.019787157,-0.017460037,0.0019492662,-0.021763165,0.84424305
0.21751207,-0.34342366,-0.06992211,-0.015539368,-0.014604491,-0.008227362,-0.021148818,-0.012079935,0.1895275
-0.27855104,-0.7698201,0.051803783,-0.123763315,-0.11359776,-0.07591722,-0.10581958,-0.13539422,-0.27039802
0.4021868,-0.096941456,0.013446052,0.09119608,0.08682613,-0.022270273,0.0843916,0.09540243,0.45860723
0.29145592,-0.27036718,0.19199063,0.19001156,0.17843108,0.19758986,0.17052948,0.17928879,-0.0761146
0.41706654,-0.09696111,0.25645167,0.25226083,0.25045478,0.23630562,0.25714877,0.25408006,0.62417185
0.28820425,-0.24886021,0.020864837,0.08823033,0.09410352,0.07831718,0.10680505,0.09564077,0.91740865
0.016059523,-0.5513978,-0.36790615,-0.19800453,-0.20250247,-0.15294228,-0.15598336,-0.15653434,0.14953834
0.2405862,-0.33549172,-0.17732447,-0.23179756,-0.20877154,-0.20558286,-0.18877,-0.22000067,-0.6861167
0.1274094,-0.43808758,0.14794873,0.09474854,0.10670982,0.11049572,0.108157255,0.08944855,0.41033357
0.436987,-0.06618599,0.038085632,0.12563646,0.12546225,0.059710816,0.124357805,0.12852277,0.8073471
0.3707078,-0.15374117,-0.114675365,-0.11036554,-0.122269824,-0.11898497,-0.16859818,-0.1250676,-0.7567458
0.44807196,-0.06322298,0.071574844,0.1750335,0.17826374,0.08859392,0.18264188,0.174146,0.86839604
-0.2888037,-0.76710516,-0.40736312,-0.47337824,-0.47008303,-0.5036651,-0.47914737,-0.4754591,-0.69672537
0.03319066,-0.51695114,-0.21014011,-0.17841841,-0.17612721,-0.20986006,-0.15600677,-0.1619787,-0.029781042
0.18781905,-0.3875484,0.19280533,0.13843718,0.14026326,0.16939619,0.119009085,0.12001374,-0.13499227
-0.08834999,-0.63240004,0.12526377,0.082981244,0.072460726,0.08967754,0.057061236,0.0665127,0.14242658
0.5558487,0.09691529,0.399825,0.28153405,0.28121015,0.36266136,0.3013883,0.28271487,-0.07736151
0.09367726,-0.48178193,0.021352602,0.06243374,0.041728728,0.078698516,0.05983261,0.07644193,0.80198264
0.40131044,-0.10562092,0.110805705,0.13738467,0.15234958,0.1662824,0.16161059,0.142074,0.62658376
0.43937007,-0.101380564,-0.10219932,-0.075724676,-0.08486628,-0.061252024,-0.087545276,-0.069821596,-0.7400956
0.17187141,-0.40737402,0.17603716,0.053030558,0.06552634,0.19001378,0.06834794,0.04914728,-0.24140376
-0.23604326,-0.7422409,0.0030318517,-0.0726692,-0.09613074,-0.039600767,-0.09647591,-0.076800376,0.036044933
0.25171873,-0.32060075,0.13532104,0.12997805,0.12178825,0.09496687,0.10595069,0.11969914,0.5983046
0.30752447,-0.23611853,-0.22285877,-0.22454394,-0.22833362,-0.22672457,-0.2711698,-0.23641793,-0.84169304
-0.329716,-0.7862549,-0.363404,-0.46020296,-0.47252077,-0.46684155,-0.47818363,-0.46085474,-0.7159627
