226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.20283456,-0.357663,0.11900026,0.07028413,0.056880087,0.09993392,0.011895203,0.046307903,-0.23766594
0.113671206,-0.4296542,-0.24989617,-0.25189918,-0.2587241,-0.25370455,-0.29022995,-0.26797616,-0.7165865
0.419828,-0.10970958,0.19010778,0.21316774,0.21021421,0.23063147,0.21021087,0.21073261,-0.018699646
0.3192532,-0.209573,0.33076006,0.36266443,0.33810657,0.3265767,0.368948,0.3789893,0.5301953
0.31127793,-0.22447866,-0.12808989,-0.13459374,-0.14428324,-0.16486135,-0.17455749,-0.14642195,-0.8703425
0.426959,-0.09256167,0.23473182,0.25032938,0.24982902,0.20409738,0.22382675,0.2408529,0.53416014
-0.19209102,-0.70019555,-0.32091445,-0.36459407,-0.37100643,-0.38795534,-0.36772767,-0.36726987,-0.6437968
-0.1871247,-0.7068708,-0.34155914,-0.2665559,-0.25178117,-0.21165846,-0.21640408,-0.23808625,0.100025006
-0.27065092,-0.742924,0.08650537,-0.05616427,-0.054634556,0.010620997,-0.042967323,-0.061187923,-0.04691109
0.20391728,-0.34212652,0.22518753,0.1720088,0.17933239,0.22378422,0.16463377,0.15759505,-0.01319073
0.31862697,-0.20938998,-0.21427117,-0.22970013,-0.221975,-0.20485061,-0.26186815,-0.24227916,-0.8470839
-0.40687227,-0.83123064,0.03986366,-0.18054661,-0.17746991,-0.16073135,-0.16577663,-0.19335459,-0.39707264
0.004562406,-0.55017215,-0.20246375,-0.15237446,-0.14317024,-0.20152353,-0.12526523,-0.13580984,0.10608145
-0.02951505,-0.585215,-0.2707872,-0.21412669,-0.2100215,-0.2086209,-0.16374162,-0.18058778,0.067933924
0.5330962,0.06757503,0.13021934,0.18588397,0.19150007,0.2227417,0.19241345,0.19554387,0.17783785
0.2405736,-0.31523037,-0.12463421,-0.13733885,-0.14207602,-0.14782463,-0.15443772,-0.1398129,-0.7087174
0.44788322,-0.05388262,0.036259573,0.12383797,0.12961686,0.12047867,0.10476276,0.12347265,0.4434102
