226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.36469534,-0.90657985,-0.8064982,-0.7873689,-0.7906814,-0.78560424,-0.78846407,-0.36111283,-0.7677359
-0.3604312,-0.7044638,0.6357479,-0.5386811,-0.51895416,-0.60707253,-0.5171001,-0.37366682,-0.48278898
-0.51541865,-0.7706534,-0.25962085,-0.66284597,-0.6785512,-0.63097626,-0.65810364,-0.49974096,-0.63878196
-0.32637313,-0.7560657,0.46001172,-0.56522256,-0.5643018,-0.6602299,-0.54485726,-0.32326865,-0.5170981
-0.32173568,-0.9182076,-0.82173043,-0.7844528,-0.78607386,-0.77741516,-0.7892404,-0.31561092,-0.7645811
-0.768272,-0.8532419,-0.23020487,-0.79727685,-0.7963487,-0.77867794,-0.7836426,-0.77302563,-0.786783
-0.5952221,-0.9097445,0.23019688,-0.7741621,-0.7677649,-0.7896646,-0.7591336,-0.59911597,-0.74219686
-0.3365752,-0.7110227,0.60091645,-0.5287893,-0.52076304,-0.6217788,-0.50615084,-0.3400127,-0.47623807
-0.55922616,-0.55746686,0.37104937,-0.4859683,-0.49232695,-0.49530172,-0.4673036,-0.55336046,-0.45328796
-0.5875976,-0.7359804,-0.36252943,-0.6520007,-0.6634097,-0.654585,-0.64674705,-0.5754044,-0.6297759
-0.72326756,-0.8319702,0.35857657,-0.72731817,-0.7230889,-0.7954447,-0.706467,-0.7245595,-0.6989911
-0.8820384,-0.87338173,0.8944188,-0.75218004,-0.74633014,-0.7839255,-0.72430664,-0.8803073,-0.7141149
0.412019,-0.8271361,-0.6888292,-0.57395303,-0.5749595,-0.5897482,-0.58805746,0.41148248,-0.5376111
-0.9015399,-0.85783523,0.85270756,-0.74977714,-0.75352424,-0.77351207,-0.71880114,-0.89732933,-0.7183621
-0.8136125,-0.74139464,0.06380581,-0.69907653,-0.69287336,-0.6972081,-0.6810229,-0.8176356,-0.67707324
-0.57085913,-0.91263187,0.2829352,-0.74804026,-0.7469644,-0.78570426,-0.73223674,-0.57015216,-0.7128247
-0.38353038,-0.89488727,0.5288028,-0.6912754,-0.68392354,-0.72238594,-0.671968,-0.3857555,-0.6457642
-0.7250473,-0.7260607,0.4641295,-0.6344013,-0.63560224,-0.66457075,-0.60760677,-0.72187686,-0.6041798
-0.53399384,-0.88544744,0.9294256,-0.68601054,-0.68827057,-0.73305535,-0.6564277,-0.53160566,-0.6420869
-0.54471445,-0.94637007,-0.13988414,-0.821345,-0.81790364,-0.8247203,-0.80955714,-0.5485165,-0.7980659
-0.38859686,-0.93837553,-0.7804538,-0.8211733,-0.8179585,-0.8135504,-0.8208629,-0.39064002,-0.80100214
-0.65130156,-0.93512565,0.074549004,-0.8116037,-0.813312,-0.79484445,-0.7974754,-0.6477419,-0.788188
-0.6054377,-0.844267,0.7044583,-0.68184566,-0.6742825,-0.7356021,-0.65570074,-0.60613173,-0.6385306
-0.64563113,-0.9255187,0.31505457,-0.7580887,-0.7563477,-0.72235066,-0.7390182,-0.6391135,-0.7257763
-0.0905851,-0.90470296,-0.80717355,-0.7394287,-0.74548453,-0.7418248,-0.7453388,-0.08059819,-0.7132817
-0.7802805,-0.9155752,-0.28724024,-0.8443422,-0.8427447,-0.8311504,-0.8331835,-0.7813526,-0.83300626
-0.3960288,-0.87492317,-0.62245834,-0.75015235,-0.7572811,-0.74842596,-0.75198656,-0.38401935,-0.7247841
-0.36486948,-0.8746933,-0.7190795,-0.76287556,-0.76658964,-0.7539642,-0.760916,-0.361586,-0.74614066
-0.6807307,-0.92848104,-0.4736905,-0.8557524,-0.8521745,-0.85068446,-0.846259,-0.6839749,-0.8462295
-0.2965946,-0.91570383,-0.6695795,-0.78970885,-0.78543836,-0.7794086,-0.79127806,-0.29980138,-0.7696314
-0.33842537,-0.92717934,-0.82750857,-0.8191757,-0.8162194,-0.82320905,-0.8195545,-0.3412173,-0.8030702
-0.11489601,-0.80612594,0.6075663,-0.5564072,-0.5513591,-0.70009476,-0.5372742,-0.11590249,-0.49904376
-0.3978094,-0.7021041,0.2954766,-0.55609256,-0.56171006,-0.60791534,-0.5403496,-0.39025313,-0.51843727
-0.7102292,-0.8216887,0.34895968,-0.7069916,-0.7031238,-0.7235362,-0.6882076,-0.71065915,-0.67788833
-0.5974798,-0.5836032,0.24105676,-0.5112877,-0.5312823,-0.49174246,-0.49564046,-0.58255565,-0.48220846
0.8716062,0.10046691,0.054505847,0.24241483,0.25037155,0.20845869,0.22382547,0.8678393,0.27423805
-0.39186406,-0.8299628,-0.4990166,-0.7398335,-0.7359467,-0.77789664,-0.7347454,-0.3968668,-0.72800726
-0.83138466,-0.9039737,0.28283045,-0.81572485,-0.8167869,-0.82859063,-0.79478794,-0.8290404,-0.7950486
-0.84062207,-0.8308872,-0.42714736,-0.80954885,-0.80354273,-0.8006201,-0.7971302,-0.8458181,-0.80207455
-0.068904266,-0.83402604,0.57058835,-0.57851845,-0.5736619,-0.727306,-0.5597512,-0.07126278,-0.5220736
-0.6370204,-0.6707843,-0.22140087,-0.6082393,-0.6159329,-0.60320187,-0.5970241,-0.6291648,-0.5850448
-0.5024249,-0.8026446,-0.06531893,-0.6693886,-0.67955834,-0.67271656,-0.65743846,-0.4911288,-0.642336
-0.8183623,-0.921942,0.34993532,-0.8221806,-0.82442117,-0.8269576,-0.8032228,-0.81487113,-0.8014768
-0.90288496,-0.86916125,-0.5011793,-0.8545823,-0.85328794,-0.8305408,-0.84262496,-0.9037753,-0.85007364
-0.9077324,-0.8306136,0.56695974,-0.7684595,-0.7632559,-0.7652398,-0.7443361,-0.9093935,-0.7437552
-0.40050995,-0.8198811,-0.4012889,-0.7157162,-0.7167584,-0.720053,-0.70869565,-0.39899847,-0.6933275
-0.4653156,-0.8520129,0.4723988,-0.6700939,-0.6641665,-0.70365894,-0.6478516,-0.4652484,-0.62862104
-0.6270065,-0.9276885,-0.18450394,-0.8160672,-0.8166035,-0.8109501,-0.8051876,-0.6245876,-0.7925394
-0.123864084,-0.8725216,-0.71971726,-0.7138651,-0.71261257,-0.7297525,-0.71959937,-0.12633504,-0.68756574
-0.46490306,-0.8914192,-0.3288311,-0.7586697,-0.761816,-0.7666577,-0.7494315,-0.4595659,-0.733035
-0.47650355,-0.8272018,0.13684498,-0.68033737,-0.683241,-0.7263232,-0.66380745,-0.47231483,-0.64701545
-0.5062256,-0.7747542,-0.21178186,-0.65754676,-0.6731758,-0.65073115,-0.6494,-0.4905508,-0.62961656
-0.47884506,-0.8898979,-0.6624423,-0.79191035,-0.7875532,-0.810176,-0.79102767,-0.48397908,-0.7763627
-0.31674644,-0.6247077,0.43098754,-0.47582763,-0.4729998,-0.52179486,-0.45807195,-0.31456524,-0.42911312
-0.4984564,-0.8851812,0.4244933,-0.720272,-0.7139435,-0.76801336,-0.70185316,-0.5005885,-0.6807968
-0.35792083,-0.8659281,0.57314825,-0.66369444,-0.6544706,-0.74576783,-0.642335,-0.36380026,-0.61541194
-0.48039156,-0.85685563,0.16924937,-0.7143484,-0.7163386,-0.7200918,-0.69613284,-0.47949556,-0.68989015
-0.524677,-0.77143514,-0.3632071,-0.6688977,-0.685551,-0.6562863,-0.66192967,-0.5090232,-0.6443052
-0.07360277,-0.7759274,0.19919685,-0.5540539,-0.5631577,-0.55281144,-0.5379343,-0.0648136,-0.51684386
-0.50420034,-0.74877024,0.59687114,-0.593789,-0.59196055,-0.6489678,-0.5683593,-0.5019995,-0.55254966
-0.274643,-0.8506082,0.43481374,-0.6456698,-0.63268197,-0.74829656,-0.63070583,-0.28379798,-0.5974277
-0.6705866,-0.5769776,-0.052567817,-0.568433,-0.5663418,-0.5515102,-0.549866,-0.6712926,-0.5450217
-0.36669245,-0.8441646,0.8558213,-0.6355317,-0.628778,-0.7276129,-0.6069141,-0.36909893,-0.58360314
-0.876538,-0.88178045,-0.49951482,-0.8620034,-0.854084,-0.8541183,-0.8512869,-0.8833376,-0.85552883
-0.64676017,-0.4417255,-0.42886442,-0.548546,-0.48152372,-0.5544345,-0.5521288,-0.70163566,-0.5277605
-0.3404984,-0.631804,0.4378264,-0.4889745,-0.47296178,-0.49412873,-0.47702116,-0.34991875,-0.43544245
-0.67907435,-0.9042664,0.31188792,-0.77805585,-0.7795551,-0.78489363,-0.7546412,-0.675583,-0.7501959
-0.803759,-0.8783203,0.47774535,-0.7699744,-0.7647649,-0.78312486,-0.7520647,-0.8031297,-0.7412597
-0.72503585,-0.9318001,0.39515236,-0.77383935,-0.7765112,-0.713594,-0.753674,-0.7181463,-0.7464806
