226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.45912272,-0.027071401,-0.035877652,0.11643706,0.11590724,0.09507854,0.12228231,0.12672348,0.6947523
-0.42627472,-0.8388226,-0.36387283,-0.54846245,-0.55051494,-0.5728146,-0.5609596,-0.55684036,-0.81568706
-0.35299414,-0.79449224,-0.0073468415,-0.024296083,-0.017202139,-0.017230138,0.0020628814,-0.028879285,0.7155535
0.68382335,0.37949094,0.16749097,0.22921465,0.22563984,0.14027542,0.22217767,0.22349639,0.28414598
-0.41740325,-0.8323525,-0.052252136,-0.1553226,-0.15817375,-0.13731068,-0.1483548,-0.1682368,-0.13715702
0.5302899,0.06739691,0.3064373,0.31072226,0.31000286,0.25838748,0.3099713,0.29844946,0.3031474
0.5295677,0.051171124,0.04169498,0.12543339,0.12609275,0.048841648,0.13969925,0.13981807,0.45568913
-0.19983967,-0.69307446,0.08970772,-0.012874847,-0.0145765925,-0.014918234,-0.0153397685,-0.018694876,0.13670164
-0.78238595,-0.95445865,-0.33441377,-0.28364167,-0.2780754,-0.3474513,-0.23572111,-0.27132908,0.9290935
0.50690013,0.04198472,0.01020326,0.156901,0.14741792,0.118293345,0.16064273,0.17569624,0.7862245
-0.10255913,-0.6232958,0.17755814,0.05577746,0.069926955,0.057978712,0.06636753,0.042755384,-0.11476695
0.35801828,-0.16985948,-0.17156804,-0.16152912,-0.17322104,-0.14871217,-0.1921313,-0.17135707,-0.77034163
-0.27346393,-0.747577,-0.10876009,-0.066124626,-0.08099544,-0.06929204,-0.07718061,-0.07575726,0.68220925
0.32695672,-0.21133967,-0.17479782,-0.19641154,-0.21375431,-0.16596481,-0.23117535,-0.207455,-0.8699627
0.3456187,-0.19923674,-0.17861369,-0.15769663,-0.19550164,-0.118125394,-0.2077048,-0.1753871,-0.85873866
0.5235864,0.027408335,0.009834583,0.14552906,0.1486637,0.024770042,0.15187934,0.15308452,0.601197
-0.3946037,-0.8073274,0.015142892,-0.082484074,-0.06884785,-0.10137372,-0.026983451,-0.06157949,0.5517906
0.20399931,-0.3729304,-0.18277001,-0.12990712,-0.13187389,-0.07990196,-0.12611435,-0.12111401,-0.3931176
0.42165327,-0.092335716,0.10759123,0.13843967,0.1476983,0.088521145,0.15699944,0.15066704,0.6198439
0.23623942,-0.3214728,0.07244511,0.086618476,0.080261596,0.100954175,0.08097781,0.08506979,0.21897502
0.48492733,-0.0075548044,0.17514588,0.21513645,0.22059827,0.17328964,0.229203,0.2262229,0.6077218
-0.42288205,-0.8270613,0.038227666,-0.06654407,-0.06847132,-0.013515364,-0.053787366,-0.07480115,0.24970733
0.23649961,-0.32726285,-0.034877677,0.042988792,0.037967745,0.007898606,0.04231042,0.046218712,0.5469117
0.6496285,0.26767027,0.07505515,0.17760299,0.17313556,0.08411831,0.17173122,0.18405266,0.288584
0.37213585,-0.17728177,-0.114388034,-0.1252762,-0.14007694,-0.10811772,-0.15587741,-0.14048065,-0.8493603
0.29321614,-0.24064669,-0.05275394,0.027250122,0.029248701,0.023019396,0.050909698,0.042546008,0.21398951
0.06576535,-0.49360806,-0.24201743,-0.11866213,-0.1145722,-0.10583322,-0.081201844,-0.10217559,0.16138208
-0.091563776,-0.63660324,0.024978595,0.003292856,-0.0028413183,-0.020474605,0.0039291303,0.004394502,0.7006074
-0.2387585,-0.7515991,-0.20233153,-0.3450283,-0.32307768,-0.3452084,-0.34147125,-0.3469296,-0.49231392
-0.30144644,-0.77442956,-0.2777712,-0.43102476,-0.4282964,-0.46074182,-0.45453447,-0.4498031,-0.69655097
-0.16673179,-0.6752092,0.1571132,0.022930762,0.03319861,0.05778197,0.023441846,0.006454616,-0.08710354
-0.03772859,-0.5610162,0.1771675,0.054925773,0.057953704,0.07196903,0.055744745,0.047130466,-0.09673656
0.041156948,-0.5185471,-0.21747006,-0.18181528,-0.1788972,-0.16361241,-0.17024383,-0.17768197,-0.15301622
0.46674174,-0.07123029,0.009439165,0.110890865,0.109617926,0.036833223,0.110371694,0.11472498,0.7985039
0.12713784,-0.4712047,-0.16221665,-0.084895745,-0.06334411,-0.10031901,-0.049253147,-0.0695832,0.29245195
0.24419676,-0.30309248,-0.21272388,-0.17588106,-0.18090008,-0.17486194,-0.17981273,-0.17524512,-0.44005653
0.19345145,-0.3210328,-0.1040236,-0.01377449,-0.02164864,-0.0022339374,-0.017566627,-0.012703228,0.03464569
0.025113575,-0.51400673,-0.21324569,-0.18035455,-0.17715774,-0.18838623,-0.16595902,-0.17410493,-0.020684509
-0.17193441,-0.6647465,0.17979395,0.03634912,0.03978034,0.0125425365,0.048964888,0.02508975,-0.06666919
0.3279311,-0.21474494,-0.11528325,-0.085774966,-0.09772775,-0.07215898,-0.10163469,-0.087409586,-0.5496023
0.6574509,0.3159161,0.21969762,0.28288883,0.27448022,0.14480533,0.26872426,0.27837625,0.38325933
-0.18535402,-0.69826245,0.15442775,0.017221617,0.016933829,0.022250801,0.015902257,0.0030873087,0.05518137
0.3184692,-0.19862571,-0.11475332,-0.061109778,-0.08617589,-0.07555242,-0.109155774,-0.085173704,-0.80118465
0.03518218,-0.52735627,-0.21792042,-0.13850272,-0.13302067,-0.16499126,-0.1039149,-0.11926203,0.2855147
-0.29446378,-0.7535807,0.06828549,-0.0056007607,-0.0069134757,-0.011433319,-0.004175567,-0.01731225,0.37880263
-0.095603175,-0.65075636,0.023109194,-0.013750243,-0.004259172,-0.10189234,0.011640184,-0.0058442294,0.7151544
0.46428815,-0.052735884,-0.13780838,-0.1152484,-0.14199574,-0.09817517,-0.16840345,-0.14045759,-0.9217478
-0.41145402,-0.84728366,-0.46893167,-0.5953547,-0.58499444,-0.6059786,-0.60302687,-0.58295923,-0.78441167
0.2342677,-0.31599435,-0.05395486,-0.05303297,-0.0434908,-0.013622067,-0.032621343,-0.03841492,0.022880794
0.54546213,0.071208484,0.07568898,0.20687751,0.20023605,0.09755982,0.21265298,0.22664037,0.72703695
-0.17134215,-0.701217,-0.035995353,-0.17304642,-0.16549158,-0.16604301,-0.16667189,-0.1754411,-0.4546663
-0.24097116,-0.7527864,-0.34951225,-0.40780336,-0.39633453,-0.4031896,-0.39693984,-0.3951666,-0.4819676
0.13332666,-0.42152017,-0.119463004,-0.15259163,-0.15113293,-0.125782,-0.15810429,-0.14925869,-0.38533488
0.44153717,-0.061646454,-0.031474873,-0.07845314,-0.10240755,-0.026388548,-0.1308993,-0.110568635,-0.95501906
-0.132483,-0.67823124,-0.10544437,-0.26263514,-0.24931054,-0.26570156,-0.27217814,-0.25282124,-0.59164697
0.50457644,0.06755588,-0.044119265,0.03522828,0.01521348,0.098571986,-0.0033765482,0.032282412,-0.351821
