226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.13554955,0.2871386,0.6145321,0.25007927,0.24142976,0.25613445,-0.5820296,-0.59084344,-0.6088766
0.40598717,-0.21322183,0.18061575,-0.014174511,-0.018464657,-0.014793598,-0.30668062,-0.76860046,-0.7877735
0.5357925,0.07120472,0.8772911,0.27758852,0.2812,0.114940815,-0.112727046,-0.52980024,-0.5579505
0.5293459,0.04437977,0.87315714,0.26206395,0.26330703,0.09001716,-0.13417159,-0.5483581,-0.57863677
0.23951837,0.2636051,0.57858735,0.2361336,0.23419584,0.24064459,-0.5058942,-0.59834266,-0.6132513
0.4824994,0.026251966,0.89397866,0.25285754,0.25353348,0.050793856,-0.22276652,-0.5572936,-0.59122133
0.32340539,-0.28226978,-0.12929349,-0.09448609,-0.10700298,-0.089533426,-0.41184372,-0.8084238,-0.8318347
0.11630744,-0.31305704,0.41095904,-0.14221837,-0.1414067,-0.13456841,-0.59440964,-0.8259864,-0.8343679
0.6990652,0.3055469,0.7164651,0.41851324,0.4246098,0.4120925,0.22342384,-0.36438748,-0.40288875
0.40851572,0.32985404,0.85571545,0.37130618,0.36679775,0.36048907,-0.2890992,-0.42506737,-0.46338
-0.030872962,0.06409967,0.93331146,0.15930332,0.16109668,0.08614934,-0.70601106,-0.6409978,-0.6543064
0.19861226,0.0006462856,0.9201056,0.16511051,0.1740004,0.036335792,-0.53382,-0.6309186,-0.6467415
-0.25866476,0.03576266,0.6528504,0.04097778,0.0032232888,0.032262806,-0.835328,-0.7325251,-0.771762
0.74634343,0.4781749,0.73798287,0.50605905,0.5228613,0.53812456,0.28448293,-0.23607995,-0.26727527
-0.1917162,-0.4182136,0.34807017,-0.30756938,-0.29726318,-0.305957,-0.7880618,-0.8886609,-0.8847957
-0.06912453,0.20074897,0.6093653,0.14288484,0.1478612,0.14759198,-0.71413726,-0.66576433,-0.6653972
0.0904833,0.06764412,0.83871645,0.1412191,0.14487718,0.041473057,-0.62103593,-0.65235543,-0.6661736
-0.3764749,-0.01794623,0.46653298,-0.10361661,-0.107979126,-0.09613378,-0.87077665,-0.8161782,-0.82053834
0.23683724,0.33609515,0.90766245,0.34505355,0.34840444,0.32554585,-0.48363376,-0.46335045,-0.47939125
0.3697966,-0.2899748,-0.09495108,-0.059672367,-0.07925356,-0.06478373,-0.34915715,-0.78556085,-0.81781733
0.29608455,-0.30440095,-0.09687259,-0.10974036,-0.12366577,-0.10266126,-0.44252703,-0.8163306,-0.8392432
-0.32236236,0.05721161,0.86444527,0.07574088,0.08333206,0.07446964,-0.838295,-0.7004952,-0.7076724
-0.1670757,-0.042786576,0.9582341,0.080100566,0.096127115,0.03827022,-0.7715073,-0.69043624,-0.6943311
0.14356728,0.15645434,0.41509542,0.12742354,0.11223135,0.12501898,-0.56975675,-0.6747488,-0.70061934
0.35139707,-0.33853385,-0.11232176,-0.09736279,-0.11627612,-0.08721137,-0.37181577,-0.81044805,-0.83727574
0.31095558,-0.2229782,0.44611898,-0.018970955,-0.023691423,-0.005566927,-0.42196542,-0.76796204,-0.7843237
0.1609426,0.19276899,0.50456876,0.18437402,0.17060745,0.1890051,-0.56516564,-0.6372676,-0.6631159
0.24898565,0.29244012,0.64153314,0.26784423,0.2727489,0.2811147,-0.48650163,-0.56166565,-0.57227445
0.0028510762,0.32690147,0.58565605,0.25015032,0.236131,0.24776772,-0.6711285,-0.5859509,-0.6063833
-0.68354464,-0.17391443,0.9227384,-0.06778951,-0.06511887,-0.04040725,-0.9442633,-0.77390826,-0.7860497
0.42761526,-0.1850041,0.5023217,0.0553132,0.05693923,0.05525876,-0.26336178,-0.71085376,-0.73329854
0.39536196,-0.1607917,0.09705319,0.022287522,0.0035374763,0.011768215,-0.31816328,-0.74882984,-0.77756214
-0.23361547,0.06680701,0.8181492,0.08900099,0.093757905,0.09234145,-0.80679107,-0.6982175,-0.7081609
-0.053115908,-0.27632877,0.7787745,-0.062628955,-0.06564299,-0.05439834,-0.72114503,-0.7822665,-0.79325855
-0.14842539,0.18045488,0.63588935,0.12743086,0.12377591,0.13306043,-0.77047443,-0.6789247,-0.6905267
-0.06442614,-0.08452083,0.95913965,0.07474698,0.1018316,0.013417258,-0.72074205,-0.6961246,-0.6937954
0.278835,0.09216951,0.89119434,0.21894369,0.22084662,0.10691794,-0.4532916,-0.5869101,-0.61183804
0.29409662,0.3739603,0.84183264,0.36904284,0.37124705,0.37912735,-0.4279411,-0.43920323,-0.45621508
0.42747203,0.43519476,0.8671074,0.44602528,0.44069526,0.46935055,-0.27728662,-0.3338697,-0.3789227
-0.22398436,-0.45978075,0.342139,-0.32529452,-0.3110829,-0.32115787,-0.79981124,-0.8919703,-0.8859947
0.38625282,0.0982256,0.8115264,0.23333852,0.24742065,0.14593144,-0.33733687,-0.58215886,-0.5982319
0.3631729,0.3343611,0.8791573,0.3724506,0.37042218,0.36511812,-0.35100818,-0.4286081,-0.45906407
0.25656417,0.3697089,0.8152172,0.3594172,0.36022025,0.3755386,-0.473212,-0.45769608,-0.47781718
0.9530723,0.6941548,0.78384864,0.7671179,0.7765353,0.79303426,0.8838768,0.33832106,0.28101304
0.3531575,-0.023069378,0.84700876,0.1706115,0.16681881,0.022145197,-0.37672478,-0.6312398,-0.65839636
0.345016,-0.0073090456,0.92631584,0.2129527,0.2198187,0.037880257,-0.40224352,-0.5974356,-0.6196594
0.36079666,-0.16996,-0.09610805,-0.009545484,-0.033842865,-0.016550312,-0.36816195,-0.7597207,-0.7954406
0.23414943,-0.26571667,0.69151044,-0.0056140875,-0.0056472863,0.005637169,-0.4867613,-0.7550223,-0.7690071
-0.28775552,0.039914798,0.94251204,0.11287294,0.12734836,0.10866482,-0.8281261,-0.67215484,-0.6727431
0.23473679,-0.10063721,0.9184535,0.13484213,0.15214022,0.012896627,-0.5170203,-0.6596922,-0.67591095
0.43099323,-0.03075889,0.88888836,0.21417162,0.2185901,0.13833165,-0.26860934,-0.5895139,-0.61004853
0.38061878,-0.25971368,0.06590325,-0.047028843,-0.06471126,-0.06428017,-0.3201044,-0.7780078,-0.804644
0.9325529,0.66355133,0.67689425,0.7205522,0.7239802,0.71301246,0.8351862,0.23740882,0.17162266
0.35791406,0.1528179,0.8981293,0.27640477,0.28308097,0.15920897,-0.36104608,-0.5381564,-0.559919
-0.28860337,0.066386245,0.811265,0.07548533,0.08097026,0.09811554,-0.83080447,-0.7009709,-0.7087604
-0.42647475,-0.053139925,0.42605534,-0.11896778,-0.14405584,-0.1077796,-0.88840485,-0.8197218,-0.8404357
0.56982696,0.10363772,0.900649,0.30793905,0.3113774,0.1240313,-0.06999122,-0.502179,-0.53548783
0.4747931,-0.029443461,0.914819,0.22223245,0.22521661,0.048015006,-0.22047476,-0.57146484,-0.6063314
0.48490152,0.076584615,0.4300735,0.19958994,0.19146359,0.21734653,-0.19249797,-0.6135209,-0.6520497
-0.03644178,0.14056304,0.66165507,0.12613131,0.12611602,0.12854314,-0.7145536,-0.6769436,-0.6902565
0.31335595,0.14169791,0.836267,0.24474303,0.23881544,0.18699132,-0.40046865,-0.5631779,-0.59352165
0.40505907,-0.03551179,-0.1195888,0.047619525,0.035631318,0.07080237,-0.32578108,-0.7296859,-0.75455356
0.27129552,-0.2721244,0.0318071,-0.10419782,-0.10879871,-0.100470364,-0.46556893,-0.81460017,-0.82936716
0.35909095,-0.14024062,-0.09729195,-0.02196586,-0.025180917,-0.005126998,-0.38138738,-0.7790922,-0.79461694
-0.5055576,-0.72053075,-0.5720457,-0.6378808,-0.6493261,-0.65343153,-0.9107502,-0.95602685,-0.96107507
0.43791,0.09468799,0.8792888,0.26193672,0.25672504,0.09526805,-0.2581493,-0.5458186,-0.57882273
-0.23592587,-0.43060216,0.3870639,-0.3080071,-0.29642734,-0.3072251,-0.80610716,-0.8857215,-0.8816112
0.9442056,0.7432792,0.7585677,0.7614968,0.77783424,0.7481127,0.87910765,0.3443773,0.3351876
0.060295608,-0.2563225,0.6162878,-0.08552599,-0.079295404,-0.06889276,-0.6517342,-0.8024641,-0.80627024
-0.6273214,-0.102828495,0.9229357,-0.0159932,-0.012930626,0.009542861,-0.93392956,-0.7509373,-0.7626709
0.7647826,0.26337618,0.7031424,0.42372826,0.43670896,0.42447945,0.40988037,-0.34386405,-0.37066767
-0.23343466,-0.47516844,0.52276206,-0.26617378,-0.27760807,-0.27544168,-0.8234328,-0.8672956,-0.8798926
-0.49607834,-0.13100912,0.18748924,-0.2520838,-0.26946756,-0.2673993,-0.9123472,-0.86212873,-0.8785043
0.25082085,0.38857463,0.8488902,0.37383148,0.36941388,0.39028856,-0.47761795,-0.4354674,-0.46072206
0.4276175,0.010176769,0.9120196,0.2295964,0.22932392,0.05866842,-0.28426135,-0.57281214,-0.5998446
0.20740242,-0.29079267,0.7516632,-0.004809417,-0.0009860095,0.017449128,-0.52897364,-0.7527776,-0.7652476
0.5743475,0.06267444,0.88590515,0.28636464,0.29156893,0.10194902,-0.06009725,-0.51980984,-0.5538818
-0.13783869,-0.41081327,0.33568585,-0.27578288,-0.2583849,-0.27906072,-0.7648529,-0.87884164,-0.87328595
-0.22041604,0.025394723,0.8340742,0.085108526,0.051768534,0.06680348,-0.81833076,-0.6993533,-0.74229556
-0.017322179,-0.22276273,0.61669195,-0.101739004,-0.08417794,-0.14541171,-0.7005977,-0.79696494,-0.80547786
0.5258237,0.089868054,0.87623435,0.2862963,0.2914675,0.12716919,-0.12807913,-0.5231711,-0.5549777
0.30191797,0.032713477,0.8901075,0.19502567,0.19715285,0.04884277,-0.43808302,-0.612219,-0.6349974
0.27855045,0.1625025,0.7558324,0.22395015,0.22339989,0.15412061,-0.45147952,-0.58409834,-0.6072191
0.16686238,0.27168334,0.9146124,0.31208438,0.31058896,0.30131826,-0.54812104,-0.4975718,-0.5249159
-0.3414459,-0.5406579,0.110249124,-0.44927576,-0.4474633,-0.4532815,-0.8541394,-0.91954803,-0.9216387
0.045281984,0.29937598,0.515368,0.23792292,0.22443233,0.22275817,-0.6530969,-0.6061743,-0.6245264
-0.36973265,0.051782675,0.79126084,0.057778813,0.03799995,0.0492484,-0.86583304,-0.71856076,-0.741645
0.33349204,-0.16396047,0.091416344,-0.042330585,-0.0369728,-0.021438293,-0.40364507,-0.7828568,-0.7923223
0.44040436,0.092721544,0.8790592,0.25785393,0.2661951,0.10873439,-0.26445958,-0.5510846,-0.57640165
0.30904216,0.08101928,0.8184734,0.20687266,0.20681785,0.064110234,-0.42781106,-0.60001326,-0.6248003
-0.06915407,0.2971328,0.8618679,0.26997852,0.26609746,0.26648524,-0.7148088,-0.5482731,-0.56350124
0.4962603,-0.014036188,0.9145754,0.24295285,0.25030988,0.07134692,-0.19587912,-0.55846834,-0.5877991
0.18244769,0.078597896,0.44991076,0.10582249,0.08538652,0.08654247,-0.5231014,-0.6878132,-0.712918
-0.07721364,-0.3885462,0.7758129,-0.12287614,-0.118060276,-0.11854528,-0.742267,-0.8047092,-0.8160764
0.05672565,-0.30221054,0.75732344,-0.054244284,-0.038491238,-0.046140254,-0.6662098,-0.7823065,-0.7899231
-0.1700329,-0.07729074,0.95699996,0.06161384,0.09580635,0.009399912,-0.7729186,-0.7079227,-0.6990105
-0.2634149,-0.24827057,0.7336471,-0.08008729,-0.10557098,-0.07772598,-0.82895553,-0.7835488,-0.80919343
0.12561011,0.2824415,0.5406667,0.22568224,0.21755609,0.21981886,-0.5917646,-0.6102031,-0.62764585
