226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.53312415,-0.8110375,-0.37150586,-0.7146697,-0.71056056,-0.69709635,-0.7049085,-0.533498,-0.68950284
-0.59230745,-0.9436422,0.08959421,-0.79864204,-0.80147165,-0.79270506,-0.7864443,-0.5915818,-0.76932174
-0.2955543,-0.74370295,-0.5055655,-0.6466384,-0.6412974,-0.6294321,-0.62778705,-0.31790587,-0.5913197
-0.6565993,-0.9162338,0.9641467,-0.74527824,-0.73497057,-0.7968247,-0.7088066,-0.6586896,-0.7004682
-0.36856377,-0.9258442,-0.85013366,-0.8168955,-0.8176663,-0.8144406,-0.81673986,-0.37287408,-0.7924759
-0.4068614,-0.55001223,0.49229947,-0.42462057,-0.43176326,-0.41610613,-0.4076859,-0.410886,-0.38448727
-0.37318802,-0.91640365,-0.8534261,-0.8051028,-0.8057514,-0.8024682,-0.8092019,-0.3713711,-0.7871462
-0.25391597,-0.8596393,0.5605853,-0.63152504,-0.62215865,-0.7251375,-0.60637784,-0.25387287,-0.58451414
-0.7390855,-0.79852283,-0.25484085,-0.72683066,-0.7417354,-0.72952396,-0.73848534,-0.7259542,-0.7250887
-0.19735506,-0.8235331,0.5373669,-0.5979167,-0.6012082,-0.7297691,-0.5833394,-0.19581088,-0.55278903
-0.8476853,-0.9003876,0.8552859,-0.7742786,-0.77440494,-0.8044862,-0.74237096,-0.8526201,-0.7321631
0.12655391,-0.695801,0.26573417,-0.43845633,-0.44100308,-0.43155992,-0.4164695,0.12486513,-0.37397188
0.46778634,-0.31205532,0.0044399374,-0.16621363,-0.12922719,-0.14110926,-0.13505788,0.458265,-0.081151396
-0.7314392,-0.88435113,0.29882464,-0.7765985,-0.7812748,-0.8020134,-0.75581217,-0.74127734,-0.7354343
-0.36090958,-0.84939444,0.79638547,-0.63866097,-0.63802063,-0.7407109,-0.6145503,-0.3652846,-0.5866902
-0.654272,-0.9597122,-0.18498527,-0.84788173,-0.85507417,-0.8527068,-0.84398013,-0.65288645,-0.8276909
-0.8304272,-0.9189711,0.4406096,-0.8215288,-0.8120054,-0.83274573,-0.7955386,-0.8351933,-0.7816379
-0.40354717,-0.93119866,-0.84934235,-0.83094484,-0.83013153,-0.8277122,-0.8285323,-0.41061917,-0.80697864
-0.14798576,-0.83224213,0.58245033,-0.587415,-0.59125453,-0.73253953,-0.572538,-0.14985964,-0.53739595
-0.28466967,-0.8085065,0.5719357,-0.5893361,-0.5946982,-0.72831225,-0.5737847,-0.28282437,-0.5492692
-0.30743608,-0.9160269,-0.86842453,-0.8060242,-0.80391294,-0.8067917,-0.8023974,-0.3179059,-0.77572876
-0.84495026,-0.9106137,-0.47708365,-0.86022675,-0.857536,-0.8548418,-0.8525852,-0.8442652,-0.84996396
-0.33683187,-0.82223976,0.5835222,-0.6210036,-0.6221416,-0.7360183,-0.59894955,-0.34014434,-0.57124364
-0.42334285,-0.93081856,-0.7235204,-0.81448865,-0.8213103,-0.8193263,-0.8228113,-0.41281414,-0.802011
-0.7593347,-0.8325695,0.33647662,-0.73533046,-0.7354677,-0.7799132,-0.7121406,-0.76479053,-0.69928765
-0.7303333,-0.96269405,0.18648866,-0.85287154,-0.8536018,-0.8417443,-0.8382952,-0.73040545,-0.82791007
-0.70130914,-0.9062703,0.86070424,-0.7512127,-0.7389688,-0.79790735,-0.7146447,-0.7027639,-0.7087304
-0.91452235,-0.9738445,-0.79602563,-0.94897956,-0.9511205,-0.95495045,-0.9465593,-0.9178614,-0.9409965
