226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.81857026,-0.8523876,0.8117914,-0.71461284,-0.7095748,-0.7551824,-0.68412983,-0.81258476,-0.6830951
-0.96061826,-0.97080153,-0.54528123,-0.946892,-0.94500184,-0.9492293,-0.94115156,-0.9604183,-0.94198024
-0.3158288,-0.92662275,-0.83599913,-0.79065996,-0.79181266,-0.7881955,-0.79795706,-0.3173067,-0.7675543
-0.7355579,-0.96362233,0.10675458,-0.8545869,-0.85180026,-0.83525777,-0.84053606,-0.73370624,-0.8304738
-0.5900514,-0.7185636,-0.2822058,-0.64806044,-0.6485553,-0.6529256,-0.6428559,-0.5877797,-0.62847966
-0.45041063,-0.8402222,0.7625787,-0.63559437,-0.62974954,-0.7151734,-0.60703903,-0.44848007,-0.58837867
-0.6926727,-0.9063536,-0.50933665,-0.8228221,-0.81804544,-0.80369735,-0.8144999,-0.6897894,-0.8068322
-0.3434136,-0.66290367,0.53414255,-0.49090344,-0.49438405,-0.5433775,-0.478106,-0.34311286,-0.4476298
-0.36458007,-0.6093346,0.19326104,-0.52165407,-0.50523806,-0.533454,-0.48511544,-0.38440806,-0.4518242
-0.36886486,-0.64489484,0.020334415,-0.5375917,-0.53772175,-0.5410512,-0.5214053,-0.38166508,-0.4832408
-0.8530279,-0.79880255,-0.045912992,-0.729075,-0.73128176,-0.70688236,-0.72922426,-0.83821934,-0.7342683
-0.3270999,-0.9252809,-0.8093576,-0.7967711,-0.79182553,-0.78703105,-0.79707,-0.33449125,-0.7680433
-0.6329642,-0.9043441,0.24802841,-0.7637804,-0.7571167,-0.7697446,-0.74351174,-0.630522,-0.7313985
-0.054574758,-0.81586206,0.46864334,-0.5689732,-0.5656779,-0.69574845,-0.54992354,-0.05817858,-0.50689614
-0.7125269,-0.85956246,0.77889144,-0.70471305,-0.6918452,-0.7621806,-0.6725997,-0.7057451,-0.6704185
-0.14054681,-0.803115,0.58842576,-0.56448936,-0.55715966,-0.6843276,-0.53703314,-0.14652917,-0.49984488
-0.37278032,-0.55414844,0.5544927,-0.42811897,-0.42633927,-0.44415176,-0.40835705,-0.3695005,-0.3854699
0.26953995,-0.7448927,-0.105884984,-0.49419704,-0.47596473,-0.4729805,-0.4762867,0.26480436,-0.4248862
-0.7140342,-0.95868385,0.03460419,-0.8585878,-0.8545294,-0.85398793,-0.8428643,-0.719933,-0.83024585
-0.9206468,-0.840322,0.48693502,-0.7622019,-0.75817657,-0.7340851,-0.7419572,-0.91475886,-0.7465893
-0.37391603,-0.9327119,-0.7591297,-0.80269563,-0.804357,-0.80796313,-0.8089032,-0.36609003,-0.78765684
-0.8875422,-0.8005367,-0.20304963,-0.765903,-0.7675485,-0.76574653,-0.7614178,-0.8778809,-0.76682645
-0.41032326,-0.8872442,0.00975172,-0.73042643,-0.72366846,-0.77655965,-0.713163,-0.4156331,-0.68892646
0.47739694,-0.40333286,0.04508797,-0.19290128,-0.16423555,-0.20958325,-0.18310963,0.48392928,-0.13570642
-0.016385928,-0.85118127,0.5420491,-0.5917437,-0.5821527,-0.7419981,-0.5653652,-0.022032626,-0.52706385
-0.54820776,-0.92462087,-0.5105381,-0.81356823,-0.80958176,-0.82153475,-0.808783,-0.54254836,-0.7965591
-0.30226752,-0.84080404,0.81853735,-0.6177899,-0.6237048,-0.7442007,-0.5969313,-0.3074388,-0.5585965
-0.33799767,-0.6571916,0.64025974,-0.48700774,-0.4875249,-0.51001894,-0.46852016,-0.33807287,-0.4388854
