226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.7834142,0.11936921,-0.7536626,0.4938766,0.48579776,0.63138896,0.3961542,-0.3191654,-0.3596383
0.5266493,0.26237148,-0.4905076,0.44059727,0.4264271,0.58543,-0.29807678,-0.42604157,-0.42226443
0.64565897,0.28225955,0.87733996,0.57149374,0.55221474,0.6123313,-0.06889988,-0.17684703,-0.18419555
0.32192284,0.23147365,0.75393575,0.4703048,0.45251724,0.5632248,-0.5873982,-0.35725302,-0.34149227
0.51065755,0.511124,0.4710929,0.62763304,0.6115303,0.7236497,-0.29424506,-0.07305702,-0.057559766
0.53842604,0.046755612,-0.87158614,0.3253842,0.3021972,0.5040518,-0.2442551,-0.58770335,-0.6081009
0.81068754,0.4250082,0.12157149,0.64372504,0.6287949,0.7099899,0.41302755,-0.010176218,-0.013274203
0.23861562,-0.18683447,-0.335628,0.19273163,0.15969026,0.4154219,-0.67534447,-0.7152562,-0.67223287
0.3239146,-0.097101495,0.06452803,0.3219433,0.29411715,0.5007705,-0.5614139,-0.58670866,-0.58439255
0.53770554,0.5130625,0.46153018,0.6369871,0.60827017,0.72197604,-0.2527491,-0.061803225,-0.0455586
-0.1499119,0.091636956,-0.56703,0.21717742,0.17714752,0.38701898,-0.8559187,-0.717113,-0.6971657
0.4524583,0.47010204,-0.03787595,0.56258667,0.54695207,0.6759237,-0.41805497,-0.2185244,-0.20145322
0.5968158,0.14239456,0.62735033,0.49444485,0.47619772,0.58980525,-0.16184302,-0.3101449,-0.30332497
0.5240388,0.4986542,0.43457642,0.6211618,0.6074705,0.71460027,-0.28018782,-0.09555267,-0.07548552
0.38558403,-0.055140886,0.097672135,0.34532103,0.32350793,0.5191157,-0.4963032,-0.5616294,-0.547111
-0.020330995,0.18812492,-0.30285048,0.31571278,0.27479625,0.48806214,-0.81547725,-0.6005929,-0.57241166
0.685029,0.25230667,0.6947715,0.5612366,0.5463196,0.62444466,0.08046792,-0.18764687,-0.18306448
0.1140202,0.023544125,-0.44864756,0.23781537,0.1814172,0.4417284,-0.75019467,-0.69784606,-0.6726229
0.6344292,0.15501098,0.62580144,0.509146,0.49753264,0.566795,-0.08336247,-0.28588313,-0.28225565
0.58502257,0.06318296,0.43640265,0.4593541,0.4520049,0.5939027,-0.17002043,-0.37490118,-0.37106872
0.5641736,0.09858096,-0.6701427,0.3861405,0.34840298,0.54819614,-0.2304623,-0.5231975,-0.51971424
0.61624384,0.24704728,0.45927334,0.5401267,0.52447486,0.5955191,-0.09780639,-0.25260088,-0.24770369
0.68667793,0.29545918,0.6904156,0.584986,0.5658804,0.60898626,0.045173887,-0.15408236,-0.16603225
0.13478234,0.18269749,-0.3740519,0.31864357,0.29072592,0.4969311,-0.7630676,-0.600863,-0.5781158
-0.10979168,0.061608814,-0.61788625,0.1903515,0.15712698,0.357997,-0.85937226,-0.73668486,-0.7202094
0.25527248,0.28701338,0.5448132,0.49081647,0.441822,0.5679349,-0.6173204,-0.37763715,-0.35146925
0.9900043,0.8286945,-0.04971935,0.9124682,0.8977743,0.926352,0.98868036,0.7864333,0.7555068
0.5578295,0.19512697,0.67284936,0.49920464,0.49000752,0.55732,-0.24000251,-0.30148923,-0.29470688
0.5718156,0.27294356,0.9337494,0.5521876,0.5268135,0.5935315,-0.22630185,-0.21278445,-0.21639636
0.2921091,-0.09146084,0.17170405,0.3341905,0.29332626,0.5029422,-0.5808247,-0.5865735,-0.5584619
0.68536085,0.27624917,0.644822,0.5730084,0.55433726,0.59651005,0.047140546,-0.17558524,-0.18738733
